symbol,signal_date,entry_date,entry_price,direction,atr_at_signal,upper_channel,lower_channel,channel_width,trend_filter,breakout_strength,volume,target_price,stop_price,label_horizon_days,label_target_atr,label_stop_atr,label_event,label_event_date,label_event_price,label,days_to_event,return_3d,return_5d,return_10d,return_20d,vol_5d,vol_10d,vol_20d,volume_avg_20d,volume_ratio_20d,volume_zscore_20d,dollar_volume,dollar_volume_avg_20d,dollar_volume_ratio_20d,atr_pct,channel_width_pct,atr_ratio_20d,atr_zscore_20d,realized_vol_ratio,realized_vol_regime,range_expansion_1d,close_location_in_bar,breakout_vol_confirmation,breakout_volume_confirmation,distance_from_trend,distance_from_upper_channel,trend_slope_5d,trend_slope_10d,shy_close,vix_close,shy_return_5d,shy_return_20d,vix_return_1d,vix_return_5d,vix_return_20d,vix_level_zscore_20d,vix_level_pct_to_20d_mean,vix_level_zscore_60d,vix_percentile_60d,vix_ma_5,vix_ma_20,vix_trend_5d,vix_trend_20d,vix_spike_flag,vix_above_20d_mean_flag,shy_trend_20d,iv_30d,hv_30d,iv_hv_spread,iv_hv_ratio,iv_change_1d,iv_change_5d,iv_change_20d,hv_change_20d,iv_zscore_20d,iv_zscore_60d,iv_percentile_60d,iv_trend_5d,iv_trend_20d,iv_spike_flag,iv_rich_vs_hv_flag,iv_breakout_confirmation,iv_regime_confirmation,downside_label
GLD,2021-05-25,2021-05-26,178.37,LONG,1.751428571428568,177.0,164.47,12.530000000000001,171.59,0.5424143556280533,6869535.0,180.99714285714285,176.61857142857144,15,1.5,1.0,stop_first,2021-06-03,176.61857142857144,0,9,0.011309388497385608,0.016624771480804323,0.0337515975368885,0.06928253815647167,0.05130759907696991,0.09163332744944806,0.10419589936019095,7756811.35,0.8856132616916099,-0.3221082225495446,1222433753.25,1333031896.3665001,0.9170326355896193,0.0098422510335969,0.07041303737004778,,,0.8794331447985703,,1.0905383360522025,1.0,,0.48036934667611314,0.03706509703362658,0.005338578252318003,,,86.3,18.84,0.00011588828369446524,0.0008117824423052866,0.023913043478260843,-0.11715089034676662,0.07289293849658329,-0.43790660190081143,-0.05290938796028666,,,20.048000000000002,19.892500000000002,-0.0935889320915092,,0.0,0.0,0.0008117824423052866,0.14275945,0.11345511,0.029304340000000012,1.2582901730913665,0.019036846575616995,0.021119575093599074,0.17586293978069367,-0.07036941503182226,0.96155145212639,,,0.019982733481614945,,0.0,1.0,0.015895094698205395,,1
IWM,2021-06-07,2021-06-08,231.45,LONG,3.365714285714286,228.92,211.54,17.379999999999995,222.067,0.45458404074702913,16210388.0,236.4985714285714,228.0842857142857,15,1.5,1.0,stop_first,2021-06-16,228.0842857142857,0,9,0.009284807077475588,0.02195121951219514,0.047642860390053166,0.022449975597852667,0.12354757921692225,0.1390990447074273,0.2181243975706812,18478433.9,0.8772598418094296,-0.4404240287805298,3735683914.6,4087381009.8244996,0.9139553923700398,0.014604965440287639,0.07541766109785202,,,0.6377051180730644,,0.858658743633281,0.8858131487889236,,0.3987883236748301,0.037749868282995584,0.006639184204816668,0.004750765778198218,-0.00047710567890790756,86.29,16.42,-0.0003475440222426851,-0.00023172285946004845,0.0,-0.02028639618138428,-0.016177351707609366,-1.1294322013532632,-0.15675953267428422,,,17.252,19.4725,-0.020885357548240724,,0.0,0.0,-0.00023172285946004845,0.1895575,0.2048129,-0.015255400000000002,0.925515433842302,-0.01817132152278067,-0.0731195853842389,-0.11324816112113567,0.027147534682727015,-1.458122611950681,,,-0.06785463725522456,,0.0,0.0,-0.006934861375212229,,1
IWM,2021-06-08,2021-06-09,233.54,LONG,3.3471428571428583,230.78,211.54,19.24000000000001,222.7285,0.6303883909517666,18954869.0,238.56071428571428,230.19285714285712,15,1.5,1.0,stop_first,2021-06-10,230.19285714285712,0,2,0.028575214203692356,0.02117863720073654,0.05189701897018972,0.06022944550669207,0.12145120629421381,0.14176623280326228,0.1973228604614052,18414350.65,1.0293531040151014,0.10525412571206419,4414399441.41,4085843128.9730005,1.0804133448264774,0.014372205148966716,0.08261410966550736,,,0.7184480929972664,,1.0486555697823357,0.8290598290598236,,0.6488922469612862,0.04562280983349679,0.009060071278285823,0.007272053020864311,0.004016453485095939,86.31,17.07,0.0002317765673889305,0.0003477051460361036,0.039585870889159436,-0.046368715083798806,-0.13173957273652082,-0.8258860464289804,-0.11751021041203535,,,17.086000000000002,19.343,-0.024771689497716798,,0.0,0.0,0.0003477051460361036,0.18633497,0.20584474,-0.01950977000000001,0.9052209446789847,-0.01700027696081663,-0.08703432728943938,-0.2360062656229539,0.053799246856004235,-1.3940804268804716,,,-0.06573233143672874,,0.0,0.0,-0.012298732518139052,,1
TLT,2021-06-08,2021-06-09,141.77,LONG,1.0921428571428586,139.91,135.36,4.549999999999983,137.91500000000002,0.4944408109875656,8447641.0,143.4082142857143,140.67785714285716,15,1.5,1.0,stop_first,2021-06-15,140.67785714285716,0,7,0.01767987826969053,0.016207220895738228,0.01642784773483852,0.01908286170367135,0.10367571919792311,0.09376435117772523,0.09380557362906593,9526840.85,0.8867200715334717,-0.352118909691702,1186471178.4499998,1312339691.3930001,0.9040884659905428,0.007776026038752999,0.032395870416518216,,,0.9995605543493215,,0.43034663178547905,0.5106382978723005,,0.4384305912879619,0.01838088677808772,0.0038447846208614603,8.70176863450034e-05,0.0005005585943738122,86.31,17.07,0.0002317765673889305,0.0003477051460361036,0.039585870889159436,-0.046368715083798806,-0.13173957273652082,-0.8258860464289804,-0.11751021041203535,,,17.086000000000002,19.343,-0.024771689497716798,,0.0,0.0,0.0003477051460361036,0.11604265,0.09302462,0.023018029999999995,1.247440193789558,0.011065001613188574,-0.05616526198136029,-0.1404045028915868,-0.1351830003011184,-1.293361075940603,,,-0.04105593369515115,,0.0,1.0,0.011381053420536111,,1
TLT,2021-06-09,2021-06-10,140.83,LONG,1.0935714285714309,140.68,135.36,5.319999999999993,138.14749999999998,0.9235793598954829,10574228.0,142.47035714285715,139.73642857142858,15,1.5,1.0,target_first,2021-06-10,142.47035714285715,1,1,0.012794853466761902,0.0228109434779471,0.01599024809981353,0.03393169877408053,0.10886188464421456,0.09289384797555866,0.09430899575748679,9426013.0,1.1218134326782703,0.38340464152687026,1498262365.32,1300980750.839,1.1516406867309708,0.007718056521782983,0.037546757004728586,,,0.9849945620716062,,0.8229915088177696,0.48888888888888327,,1.0360837320751513,0.02564288170252823,0.0071282377020254846,0.0021108906725468835,0.0018892281360822771,86.29,17.89,-0.00011587485515629492,0.00023183030022044804,0.04803749267721158,0.02345537757437066,-0.18086080586080588,-0.4637489688196745,-0.06557676738659202,,,17.168,19.1455,-0.004638218923933124,,0.0,0.0,0.00023183030022044804,0.12169398,0.09646938,0.0252246,1.261477787044967,0.04870045625466157,-0.0003911563508284255,-0.07860578056967393,-0.09352628715490208,-0.41282241825590227,,,-0.03555995937328038,,1.0,1.0,0.0232969199216196,,0
QQQ,2021-06-10,2021-06-11,340.36,LONG,3.6464285714285887,339.29,316.0,23.29000000000002,330.9825,0.29069539666993066,24769313.0,345.8296428571429,336.7135714285714,15,1.5,1.0,target_first,2021-06-17,345.8296428571429,1,7,0.011140819964349458,0.03136363636363648,0.018615508933648606,0.07403199848527886,0.1034864779690752,0.11422624442056419,0.14303084348648196,27133080.35,0.9128824549402846,-0.2549958280736709,8430235679.55,8940094187.248999,0.9429694478581451,0.010713761044303183,0.06842955780813874,0.6825505060634044,-1.8405530268881045,0.798612674275111,,1.0229187071498376,0.9705093833780274,0.19841429010736325,0.26537072735188616,0.028302100564229247,0.0031144410166005646,0.007991265644105683,0.0063867891827464884,86.32,16.1,0.000579575750550454,0.0006955715279386432,-0.10005589714924534,-0.10753880266075377,-0.4164552374048568,-1.2516232175103335,-0.13305691669807762,,,16.78,18.571,-0.03474459272894592,,0.0,0.0,0.0006955715279386432,0.1637773,0.18581111,-0.022033810000000015,0.88141823166548,-0.10208878272306576,-0.14232272972309734,-0.42622768472187444,0.04462291423821352,-1.397640038359519,,,-0.05453219692522526,,0.0,0.0,-0.006405127138099889,,0
TLT,2021-06-10,2021-06-11,142.31,LONG,1.1292857142857164,142.15,135.36,6.789999999999992,138.49450000000002,0.34535104364325103,16652619.0,144.0039285714286,141.1807142857143,15,1.5,1.0,stop_first,2021-06-14,141.1807142857143,0,4,0.022011902201190203,0.03282370842692561,0.023847148398218554,0.05117994100294987,0.08676510755811756,0.09320406836674096,0.08415944876007538,9378209.5,1.775671464792933,2.535723981851687,2373664312.2599998,1300277055.032,1.8255065742135883,0.007922588145683434,0.04763575136803699,0.9937458751060719,-0.10438669296919334,1.1074700433512854,,1.6647691334598282,0.9893617021276541,0.3431911750840577,0.6132299935337797,0.029210546267180105,0.0027360740844674224,0.005240523326498714,0.004227348698259581,86.32,16.1,0.000579575750550454,0.0006955715279386432,-0.10005589714924534,-0.10753880266075377,-0.4164552374048568,-1.2516232175103335,-0.13305691669807762,,,16.78,18.571,-0.03474459272894592,,0.0,0.0,0.0006955715279386432,0.11593153,0.09846957,0.01746196,1.1773335660955968,-0.047351972546217924,-0.038952539239904604,-0.15552727167304492,-0.07210178485727947,-1.1817493626755688,,,-0.03680366535165336,,0.0,1.0,0.006030506110056703,,1
QQQ,2021-06-11,2021-06-14,341.68,LONG,3.4564285714285865,340.46,316.3,24.159999999999968,332.0775,0.2256664600124068,15906351.0,346.8646428571429,338.2235714285714,15,1.5,1.0,stop_first,2021-06-16,338.2235714285714,0,3,0.01330324266539984,0.016805721096543547,0.02511415525114158,0.06857894407214893,0.058807921233521604,0.11029870470756224,0.14227007160124958,25400374.75,0.6262250520536119,-1.20781585768714,5427883215.24,8404189435.289999,0.6458544583071625,0.010129025235695073,0.07080060954167146,0.6599296293265713,-1.769086216629471,0.7752769325702193,,0.4513329200247972,0.9935897435897494,0.14892398330742715,0.14131799066802378,0.027591450790854614,0.0022857812683156416,0.010696578738324192,0.010844253687046335,86.3,15.65,0.0,0.00023180343069073572,-0.02795031055900632,-0.04689403166869677,-0.32338953739731946,-1.436184600734179,-0.13996812661427704,,,16.625999999999998,18.197,-0.040069284064665256,,0.0,0.0,0.00023180343069073572,0.15207779,0.1806519,-0.028574110000000014,0.8418277914597078,-0.07143547976428966,-0.11181157095997474,-0.38073689959354773,0.00017578326670641964,-1.7830643926882839,,,-0.0634376149619218,,0.0,0.0,-0.006448218251705116,,1
QQQ,2021-06-14,2021-06-15,344.15,LONG,3.2700000000000142,341.25,316.3,24.94999999999999,332.9835,0.9969418960244577,19904394.0,349.055,340.87999999999994,15,1.5,1.0,stop_first,2021-06-16,340.87999999999994,0,2,0.022770454815342678,0.023499702911467413,0.03168328691641964,0.0555164067526579,0.0705179468917066,0.11538020287500927,0.12734560245281557,24643162.85,0.8077045191461696,-0.6218569174741407,6857262776.94,8175076424.212999,0.838801060823127,0.009491741894284677,0.07242170038605553,0.6404588696138802,-1.6989774068960535,0.9060399468270627,,1.2385321100917412,1.0,0.6385002797985427,0.8052344747451052,0.03461582931286385,0.009462715160662945,0.013084035377552317,0.01422884329540186,86.27,16.39,-0.00023177656738915253,-0.00011590171534547888,0.047284345047923226,-0.0018270401948843329,-0.1286549707602338,-0.9316546762377922,-0.09327284797521573,,,16.62,18.076,-0.03663343380477613,,0.0,0.0,-0.00011590171534547888,0.16174536,0.17938194,-0.017636579999999985,0.9016814067235532,0.06356990064098134,-0.06178640065764418,-0.23246703938598645,-0.00955385350500293,-1.2098328854887481,,,-0.0755151534671572,,1.0,0.0,-0.017582645504587015,,1
SPY,2021-06-14,2021-06-15,425.43,LONG,2.5321428571428606,424.63,405.33,19.30000000000001,419.25100000000003,0.2488011283497863,27509719.0,429.2282142857143,422.89785714285716,15,1.5,1.0,stop_first,2021-06-16,422.89785714285716,0,2,0.008561603225423875,0.007271607570051408,0.012427387867822048,0.020836333957463093,0.03259318397700324,0.054487901603226134,0.07375596108138929,40462244.9,0.6798861276231364,-1.0770895224510293,11698783101.94,16924688280.372997,0.6912259125922392,0.005954340537889434,0.04538400037624044,0.5730080091810599,-1.7686058045456419,0.7387592921892651,,0.8648801128349768,0.9863013698630002,0.1425650392377124,0.16915643570200314,0.01433270284388101,0.0014814466444057646,0.006323561356787577,0.007871838913977358,86.27,16.39,-0.00023177656738915253,-0.00011590171534547888,0.047284345047923226,-0.0018270401948843329,-0.1286549707602338,-0.9316546762377922,-0.09327284797521573,,,16.62,18.076,-0.03663343380477613,,0.0,0.0,-0.00011590171534547888,0.1154553,0.11407421,0.0013810900000000015,1.0121069433660772,0.05298971966222332,-0.03091267635614381,-0.2114279438393084,0.04250688475126507,-1.135284498411813,,,-0.07004005562809978,,1.0,1.0,0.00034361675035260675,,1
