date,close,cash_flow,position_delta,cash,position_shares,market_value,equity,daily_return,running_peak,drawdown,open_positions
2021-09-02,380.4,0.0,0.0,101492.1356,0.0,0.0,101492.1356,0.0,101580.4492,-0.0008693956435074091,0
2021-09-03,381.57,0.0,0.0,101492.1356,0.0,0.0,101492.1356,0.0,101580.4492,-0.0008693956435074091,0
2021-09-07,382.11,0.0,0.0,101492.1356,0.0,0.0,101492.1356,0.0,101580.4492,-0.0008693956435074091,0
2021-09-08,380.78,0.0,0.0,101492.1356,0.0,0.0,101492.1356,0.0,101580.4492,-0.0008693956435074091,0
2021-09-09,379.47,0.0,0.0,101492.1356,0.0,0.0,101492.1356,0.0,101580.4492,-0.0008693956435074091,0
2021-09-10,376.59,0.0,0.0,101492.1356,0.0,0.0,101492.1356,0.0,101580.4492,-0.0008693956435074091,0
2021-09-13,376.33,0.0,0.0,101492.1356,0.0,0.0,101492.1356,0.0,101580.4492,-0.0008693956435074091,0
2021-09-14,375.26,0.0,0.0,101492.1356,0.0,0.0,101492.1356,0.0,101580.4492,-0.0008693956435074091,0
2021-09-15,378.05,0.0,0.0,101492.1356,0.0,0.0,101492.1356,0.0,101580.4492,-0.0008693956435074091,0
2021-09-16,378.31,0.0,0.0,101492.1356,0.0,0.0,101492.1356,0.0,101580.4492,-0.0008693956435074091,0
2021-09-17,373.83,0.0,0.0,101492.1356,0.0,0.0,101492.1356,0.0,101580.4492,-0.0008693956435074091,0
2021-09-20,365.7,0.0,0.0,101492.1356,0.0,0.0,101492.1356,0.0,101580.4492,-0.0008693956435074091,0
2021-09-21,366.15,0.0,0.0,101492.1356,0.0,0.0,101492.1356,0.0,101580.4492,-0.0008693956435074091,0
2021-09-22,369.57,0.0,0.0,101492.1356,0.0,0.0,101492.1356,0.0,101580.4492,-0.0008693956435074091,0
2021-09-23,372.98,0.0,0.0,101492.1356,0.0,0.0,101492.1356,0.0,101580.4492,-0.0008693956435074091,0
2021-09-24,373.33,0.0,0.0,101492.1356,0.0,0.0,101492.1356,0.0,101580.4492,-0.0008693956435074091,0
2021-09-27,370.35,0.0,0.0,101492.1356,0.0,0.0,101492.1356,0.0,101580.4492,-0.0008693956435074091,0
2021-09-28,359.87,0.0,0.0,101492.1356,0.0,0.0,101492.1356,0.0,101580.4492,-0.0008693956435074091,0
2021-09-29,359.28,0.0,0.0,101492.1356,0.0,0.0,101492.1356,0.0,101580.4492,-0.0008693956435074091,0
2021-09-30,357.96,0.0,0.0,101492.1356,0.0,0.0,101492.1356,0.0,101580.4492,-0.0008693956435074091,0
2021-10-01,360.18,0.0,0.0,101492.1356,0.0,0.0,101492.1356,0.0,101580.4492,-0.0008693956435074091,0
2021-10-04,352.62,0.0,0.0,101492.1356,0.0,0.0,101492.1356,0.0,101580.4492,-0.0008693956435074091,0
2021-10-05,357.38,0.0,0.0,101492.1356,0.0,0.0,101492.1356,0.0,101580.4492,-0.0008693956435074091,0
