threshold,trade_count,sharpe_ratio,total_return,win_rate,max_drawdown,expected_return_per_trade,test_start,test_end,removed_signal_count
baseline,11,1.3422901105715188,0.029142720200000083,0.8181818181818182,-0.008106666845698829,0.00801096336870449,2024-12-11,2026-04-22,
0.05,10,1.110160592448627,0.023602403900000235,0.8,-0.008039405162934221,0.006594950178679282,2024-12-11,2026-04-22,1.0
0.1,9,1.191484865806322,0.02525610980000037,0.8888888888888888,-0.008039405162934221,0.007901549105172278,2024-12-11,2026-04-22,2.0
0.15,9,1.191484865806322,0.02525610980000037,0.8888888888888888,-0.008039405162934221,0.007901549105172278,2024-12-11,2026-04-22,2.0
0.2,9,1.191484865806322,0.02525610980000037,0.8888888888888888,-0.008039405162934221,0.007901549105172278,2024-12-11,2026-04-22,2.0
0.25,8,0.739127337584524,0.01463305820000027,0.875,-0.008039405162934221,0.003791742622395941,2024-12-11,2026-04-22,3.0
0.3,8,0.14913466080326765,0.002693173900000012,0.75,-0.015901852610044398,0.0008410182965160815,2024-12-11,2026-04-22,4.0
