threshold,trade_count,sharpe_ratio,total_return,win_rate,max_drawdown,expected_return_per_trade,test_start,test_end
baseline,7,0.6527646887270356,0.007512852100000078,0.8571428571428571,-0.00642944730380024,0.002861238539296848,2025-06-24,2026-04-22
0.35,3,1.072238927830321,0.01013858880000007,1.0,-0.005817270253928197,0.008852316677116515,2025-06-24,2026-04-22
0.4,3,1.072238927830321,0.01013858880000007,1.0,-0.005817270253928197,0.008852316677116515,2025-06-24,2026-04-22
0.45,3,1.072238927830321,0.01013858880000007,1.0,-0.005817270253928197,0.008852316677116515,2025-06-24,2026-04-22
0.5,1,0.5036205027607005,0.0022277509999999445,1.0,-0.0029985358594324385,0.007085839205992075,2025-06-24,2026-04-22
0.55,1,0.5036205027607005,0.0022277509999999445,1.0,-0.0029985358594324385,0.007085839205992075,2025-06-24,2026-04-22
0.6,1,0.5036205027607005,0.0022277509999999445,1.0,-0.0029985358594324385,0.007085839205992075,2025-06-24,2026-04-22
0.65,1,0.5036205027607005,0.0022277509999999445,1.0,-0.0029985358594324385,0.007085839205992075,2025-06-24,2026-04-22
