date,close,cash_flow,position_delta,cash,position_shares,market_value,equity,daily_return,running_peak,drawdown,open_positions
2025-02-20,537.23,40466.634858000005,-75.4,100785.527886,0.0,0.0,100785.527886,-0.0021106523136461552,101100.83636,-0.0031187523798246186,0
2025-02-21,526.08,0.0,0.0,100785.527886,0.0,0.0,100785.527886,0.0,101100.83636,-0.0031187523798246186,0
2025-02-24,519.87,0.0,0.0,100785.527886,0.0,0.0,100785.527886,0.0,101100.83636,-0.0031187523798246186,0
2025-02-25,513.32,0.0,0.0,100785.527886,0.0,0.0,100785.527886,0.0,101100.83636,-0.0031187523798246186,0
2025-02-26,514.56,0.0,0.0,100785.527886,0.0,0.0,100785.527886,0.0,101100.83636,-0.0031187523798246186,0
2025-02-27,500.27,0.0,0.0,100785.527886,0.0,0.0,100785.527886,0.0,101100.83636,-0.0031187523798246186,0
2025-02-28,508.17,0.0,0.0,100785.527886,0.0,0.0,100785.527886,0.0,101100.83636,-0.0031187523798246186,0
2025-03-03,497.05,0.0,0.0,100785.527886,0.0,0.0,100785.527886,0.0,101100.83636,-0.0031187523798246186,0
2025-03-04,495.55,0.0,0.0,100785.527886,0.0,0.0,100785.527886,0.0,101100.83636,-0.0031187523798246186,0
2025-03-05,502.01,0.0,0.0,100785.527886,0.0,0.0,100785.527886,0.0,101100.83636,-0.0031187523798246186,0
2025-03-06,488.2,0.0,0.0,100785.527886,0.0,0.0,100785.527886,0.0,101100.83636,-0.0031187523798246186,0
2025-03-07,491.79,0.0,0.0,100785.527886,0.0,0.0,100785.527886,0.0,101100.83636,-0.0031187523798246186,0
2025-03-10,472.73,0.0,0.0,100785.527886,0.0,0.0,100785.527886,0.0,101100.83636,-0.0031187523798246186,0
2025-03-11,471.6,0.0,0.0,100785.527886,0.0,0.0,100785.527886,0.0,101100.83636,-0.0031187523798246186,0
2025-03-12,476.92,0.0,0.0,100785.527886,0.0,0.0,100785.527886,0.0,101100.83636,-0.0031187523798246186,0
2025-03-13,468.34,0.0,0.0,100785.527886,0.0,0.0,100785.527886,0.0,101100.83636,-0.0031187523798246186,0
2025-03-14,479.66,0.0,0.0,100785.527886,0.0,0.0,100785.527886,0.0,101100.83636,-0.0031187523798246186,0
2025-03-17,482.77,0.0,0.0,100785.527886,0.0,0.0,100785.527886,0.0,101100.83636,-0.0031187523798246186,0
2025-03-18,474.54,0.0,0.0,100785.527886,0.0,0.0,100785.527886,0.0,101100.83636,-0.0031187523798246186,0
2025-03-19,480.89,0.0,0.0,100785.527886,0.0,0.0,100785.527886,0.0,101100.83636,-0.0031187523798246186,0
2025-03-20,479.26,0.0,0.0,100785.527886,0.0,0.0,100785.527886,0.0,101100.83636,-0.0031187523798246186,0
2025-03-21,480.84,0.0,0.0,100785.527886,0.0,0.0,100785.527886,0.0,101100.83636,-0.0031187523798246186,0
2025-03-24,490.66,0.0,0.0,100785.527886,0.0,0.0,100785.527886,0.0,101100.83636,-0.0031187523798246186,0
2025-03-25,493.46,0.0,0.0,100785.527886,0.0,0.0,100785.527886,0.0,101100.83636,-0.0031187523798246186,0
2025-03-26,484.38,0.0,0.0,100785.527886,0.0,0.0,100785.527886,0.0,101100.83636,-0.0031187523798246186,0
