date,close,cash_flow,position_delta,cash,position_shares,market_value,equity,daily_return,running_peak,drawdown,open_positions
2025-06-24,539.78,0.0,0,100000.0,0,0.0,100000.0,0.0,100000.0,0.0,0
2025-06-25,541.16,-31470.919479999997,58,68529.08052,58,31387.28,99916.36052,-0.0008363947999999732,100000.0,-0.0008363947999999732,1
2025-06-26,546.22,0.0,0,68529.08052,58,31680.760000000002,100209.84052,0.002937256706235347,100209.84052,0.0,1
2025-06-27,548.09,0.0,0,68529.08052,58,31789.22,100318.30052,0.001082328835543489,100318.30052,0.0,1
2025-06-30,551.64,0.0,0,68529.08052,58,31995.12,100524.20052,0.0020524669869077528,100524.20052,0.0,1
2025-07-01,546.99,31693.694580000003,-58,100222.7751,0,0.0,100222.7751,-0.0029985358594324385,100524.20052,-0.0029985358594324385,0
2025-07-02,550.8,0.0,0,100222.7751,0,0.0,100222.7751,0.0,100524.20052,-0.0029985358594324385,0
2025-07-03,556.22,0.0,0,100222.7751,0,0.0,100222.7751,0.0,100524.20052,-0.0029985358594324385,0
2025-07-07,552.03,-33798.48472,61,66424.29038,61,33673.83,100098.12038000001,-0.0012437763759346465,100524.20052,-0.004238582727302709,1
2025-07-08,552.34,0.0,0,66424.29038,61,33692.740000000005,100117.03038000001,0.00018891463624104432,100524.20052,-0.00405046882137583,1
2025-07-09,556.25,0.0,0,66424.29038,61,33931.25,100355.54038,0.002382311971247164,100524.20052,-0.0016778063304908608,1
2025-07-10,555.45,33848.56755000001,-61,100272.85793000001,0,0.0,100272.85793000001,-0.0008238952198046379,100524.20052,-0.0025003192136801022,0
2025-07-11,554.2,0.0,0,100272.85793000001,0,0.0,100272.85793000001,0.0,100524.20052,-0.0025003192136801022,0
2025-07-14,556.21,0.0,0,100272.85793000001,0,0.0,100272.85793000001,0.0,100524.20052,-0.0025003192136801022,0
2025-07-15,556.72,0.0,0,100272.85793000001,0,0.0,100272.85793000001,0.0,100524.20052,-0.0025003192136801022,0
2025-07-16,557.29,0.0,0,100272.85793000001,0,0.0,100272.85793000001,0.0,100524.20052,-0.0025003192136801022,0
2025-07-17,561.8,0.0,0,100272.85793000001,0,0.0,100272.85793000001,0.0,100524.20052,-0.0025003192136801022,0
2025-07-18,561.26,0.0,0,100272.85793000001,0,0.0,100272.85793000001,0.0,100524.20052,-0.0025003192136801022,0
2025-07-21,564.17,0.0,0,100272.85793000001,0,0.0,100272.85793000001,0.0,100524.20052,-0.0025003192136801022,0
2025-07-22,561.25,0.0,0,100272.85793000001,0,0.0,100272.85793000001,0.0,100524.20052,-0.0025003192136801022,0
2025-07-23,563.81,0.0,0,100272.85793000001,0,0.0,100272.85793000001,0.0,100524.20052,-0.0025003192136801022,0
2025-07-24,565.01,0.0,0,100272.85793000001,0,0.0,100272.85793000001,0.0,100524.20052,-0.0025003192136801022,0
2025-07-25,566.37,0.0,0,100272.85793000001,0,0.0,100272.85793000001,0.0,100524.20052,-0.0025003192136801022,0
2025-07-28,568.14,0.0,0,100272.85793000001,0,0.0,100272.85793000001,0.0,100524.20052,-0.0025003192136801022,0
2025-07-29,567.26,0.0,0,100272.85793000001,0,0.0,100272.85793000001,0.0,100524.20052,-0.0025003192136801022,0
2025-07-30,568.02,0.0,0,100272.85793000001,0,0.0,100272.85793000001,0.0,100524.20052,-0.0025003192136801022,0
2025-07-31,565.01,0.0,0,100272.85793000001,0,0.0,100272.85793000001,0.0,100524.20052,-0.0025003192136801022,0
2025-08-01,553.88,0.0,0,100272.85793000001,0,0.0,100272.85793000001,0.0,100524.20052,-0.0025003192136801022,0
2025-08-04,564.1,0.0,0,100272.85793000001,0,0.0,100272.85793000001,0.0,100524.20052,-0.0025003192136801022,0
2025-08-05,560.27,0.0,0,100272.85793000001,0,0.0,100272.85793000001,0.0,100524.20052,-0.0025003192136801022,0
2025-08-06,567.32,0.0,0,100272.85793000001,0,0.0,100272.85793000001,0.0,100524.20052,-0.0025003192136801022,0
2025-08-07,569.24,0.0,0,100272.85793000001,0,0.0,100272.85793000001,0.0,100524.20052,-0.0025003192136801022,0
2025-08-08,574.55,0.0,0,100272.85793000001,0,0.0,100272.85793000001,0.0,100524.20052,-0.0025003192136801022,0
2025-08-11,572.85,0.0,0,100272.85793000001,0,0.0,100272.85793000001,0.0,100524.20052,-0.0025003192136801022,0
2025-08-12,580.05,0.0,0,100272.85793000001,0,0.0,100272.85793000001,0.0,100524.20052,-0.0025003192136801022,0
2025-08-13,580.34,-33833.88008,58,66438.97785000001,58,33659.72,100098.69785000001,-0.0017368616352949617,100524.20052,-0.004232838140456829,1
2025-08-14,579.89,0.0,0,66438.97785000001,58,33633.62,100072.59785000002,-0.0002607426526077816,100524.20052,-0.004492477111619819,1
2025-08-15,577.34,0.0,0,66438.97785000001,58,33485.72,99924.69785000001,-0.001477927056732331,100524.20052,-0.005963764614877132,1
2025-08-18,577.11,33438.90762,-58,99877.88547000001,0,0.0,99877.88547000001,-0.00046847657293169753,100524.20052,-0.00642944730380024,0
2025-08-19,569.28,0.0,0,99877.88547000001,0,0.0,99877.88547000001,0.0,100524.20052,-0.00642944730380024,0
2025-08-20,565.9,0.0,0,99877.88547000001,0,0.0,99877.88547000001,0.0,100524.20052,-0.00642944730380024,0
2025-08-21,563.28,0.0,0,99877.88547000001,0,0.0,99877.88547000001,0.0,100524.20052,-0.00642944730380024,0
2025-08-22,571.97,0.0,0,99877.88547000001,0,0.0,99877.88547000001,0.0,100524.20052,-0.00642944730380024,0
