symbol,signal_date,entry_date,entry_price,direction,atr_at_signal,upper_channel,lower_channel,channel_width,trend_filter,breakout_strength,volume,target_price,stop_price,label_horizon_days,label_target_atr,label_stop_atr,label_event,label_event_date,label_event_price,label,days_to_event
QQQ,2021-06-10,2021-06-11,340.36,LONG,3.6464285714285887,339.29,316.0,23.29000000000002,330.9825,0.29069539666993066,24769313.0,345.8296428571429,336.7135714285714,15,1.5,1.0,target_first,2021-06-17,345.8296428571429,1,7
QQQ,2021-06-11,2021-06-14,341.68,LONG,3.4564285714285865,340.46,316.3,24.159999999999968,332.0775,0.2256664600124068,15906351.0,346.8646428571429,338.2235714285714,15,1.5,1.0,stop_first,2021-06-16,338.2235714285714,0,3
QQQ,2021-06-14,2021-06-15,344.15,LONG,3.2700000000000142,341.25,316.3,24.94999999999999,332.9835,0.9969418960244577,19904394.0,349.055,340.87999999999994,15,1.5,1.0,stop_first,2021-06-16,340.87999999999994,0,2
QQQ,2021-06-17,2021-06-18,343.63,LONG,3.930714285714296,344.51,316.3,28.20999999999998,335.95300000000003,0.2111575504270352,39129555.0,349.5260714285714,339.6992857142857,15,1.5,1.0,target_first,2021-06-24,349.5260714285714,1,7
QQQ,2021-06-22,2021-06-23,347.51,LONG,4.110000000000009,346.38,328.28,18.100000000000023,338.2635,0.28953771289537594,21843595.0,353.675,343.4,15,1.5,1.0,target_first,2021-06-28,353.675,1,6
QQQ,2021-06-24,2021-06-25,350.47,LONG,3.717857142857148,348.92,328.28,20.640000000000043,339.78999999999996,0.26090297790585143,23932009.0,356.04678571428576,346.75214285714287,15,1.5,1.0,target_first,2021-07-02,356.04678571428576,1,8
QQQ,2021-06-28,2021-06-29,353.53,LONG,3.6957142857142906,351.46,328.28,23.180000000000007,341.608,0.6088132972555075,26563372.0,359.0735714285714,349.83428571428567,15,1.5,1.0,target_first,2021-07-06,359.0735714285714,1,8
QQQ,2021-06-29,2021-06-30,354.82,LONG,3.6978571428571416,353.85,328.28,25.57000000000005,342.7165,0.3082866525014451,19808567.0,360.3667857142857,351.1221428571429,15,1.5,1.0,target_first,2021-07-06,360.3667857142857,1,7
QQQ,2021-07-02,2021-07-06,359.27,LONG,3.61714285714286,355.23,331.78,23.450000000000045,346.145,0.9427330173775575,21002660.0,364.69571428571425,355.6528571428571,15,1.5,1.0,stop_first,2021-07-08,355.6528571428571,0,3
QQQ,2021-07-06,2021-07-07,362.45,LONG,3.6885714285714317,358.97,334.34,24.630000000000052,347.32450000000006,0.33075135553833407,26172696.0,367.98285714285714,358.76142857142855,15,1.5,1.0,stop_first,2021-07-08,358.76142857142855,0,2
QQQ,2021-07-23,2021-07-26,367.49,LONG,4.274999999999998,365.49,348.84,16.650000000000034,358.996,0.6339181286549663,21474075.0,373.90250000000003,363.21500000000003,15,1.5,1.0,stop_first,2021-07-27,363.21500000000003,0,2
QQQ,2021-08-23,2021-08-24,373.83,LONG,3.9278571428571474,369.91,359.96,9.950000000000045,366.8875,0.8452445899254383,23183088.0,379.7217857142857,369.90214285714285,15,1.5,1.0,target_first,2021-08-30,379.7217857142857,1,7
QQQ,2021-08-30,2021-08-31,380.51,LONG,4.0092857142857055,376.56,359.96,16.600000000000023,369.4865,0.9228576518795645,20464114.0,386.52392857142854,376.5007142857143,15,1.5,1.0,stop_first,2021-09-10,376.5007142857143,0,11
QQQ,2021-10-19,2021-10-20,375.94,LONG,5.445714285714282,374.04,350.32,23.720000000000027,363.827,0.2625918153200434,20413146.0,384.1085714285714,370.4942857142857,15,1.5,1.0,target_first,2021-10-28,384.1085714285714,1,9
QQQ,2021-10-28,2021-10-29,381.06,LONG,4.327142857142856,383.15,350.32,32.829999999999984,368.041,0.24727632882140485,24203231.0,387.55071428571426,376.73285714285714,15,1.5,1.0,target_first,2021-11-01,387.55071428571426,1,4
