feature,coefficient,abs_coefficient
numeric__iv_hv_spread,0.8603909970091054,0.8603909970091054
numeric__distance_from_trend,-0.8001297143767376,0.8001297143767376
numeric__iv_change_20d,-0.7749937584322857,0.7749937584322857
numeric__vix_level_zscore_20d,-0.745960996469908,0.745960996469908
numeric__atr_zscore_20d,-0.6806577904097764,0.6806577904097764
numeric__iv_hv_ratio,-0.6362156405231469,0.6362156405231469
numeric__atr_pct,0.6159380830485152,0.6159380830485152
numeric__iv_zscore_60d,0.5995710921086075,0.5995710921086075
numeric__vix_level_zscore_60d,0.5637476876546786,0.5637476876546786
symbol__symbol_TLT,-0.48558316349878544,0.48558316349878544
numeric__vix_level_pct_to_20d_mean,0.4816570379618524,0.4816570379618524
symbol__symbol_QQQ,0.47389208932323595,0.47389208932323595
numeric__iv_change_1d,0.4530732677429621,0.4530732677429621
numeric__iv_spike_flag,-0.4494381875766504,0.4494381875766504
symbol__symbol_SPY,0.44211884335446244,0.44211884335446244
numeric__return_3d,0.4326420754449155,0.4326420754449155
numeric__iv_trend_5d,0.40262352218008046,0.40262352218008046
numeric__atr_ratio_20d,0.36514500176297304,0.36514500176297304
numeric__hv_30d,-0.35779511014862225,0.35779511014862225
numeric__vix_trend_5d,-0.34253809859190304,0.34253809859190304
numeric__breakout_strength,-0.33067485278098585,0.33067485278098585
numeric__iv_rich_vs_hv_flag,-0.31481501980494025,0.31481501980494025
numeric__iv_trend_20d,-0.28970941903622255,0.28970941903622255
symbol__symbol_GLD,-0.2822878444967394,0.2822878444967394
numeric__vix_trend_20d,-0.2681766757231079,0.2681766757231079
numeric__channel_width,-0.2659895533404958,0.2659895533404958
numeric__distance_from_upper_channel,0.24738224814930362,0.24738224814930362
numeric__vix_return_20d,-0.2383772079992148,0.2383772079992148
numeric__vix_return_5d,0.2337159536708882,0.2337159536708882
numeric__vix_above_20d_mean_flag,-0.22646184916135675,0.22646184916135675
numeric__channel_width_pct,-0.2130098236829464,0.2130098236829464
symbol__symbol_XLE,-0.20983409252929114,0.20983409252929114
numeric__return_20d,0.20344215866230678,0.20344215866230678
numeric__breakout_vol_confirmation,0.1910703729426742,0.1910703729426742
numeric__range_expansion_1d,0.1909559106406181,0.1909559106406181
numeric__return_10d,0.1571046396527729,0.1571046396527729
numeric__volume_zscore_20d,0.15045858375957194,0.15045858375957194
numeric__trend_slope_5d,0.14799271841957565,0.14799271841957565
numeric__vix_return_1d,0.13849288278289418,0.13849288278289418
numeric__return_5d,0.13496741401314546,0.13496741401314546
numeric__vol_20d,-0.1280235166385685,0.1280235166385685
numeric__iv_regime_confirmation,-0.12083989054261553,0.12083989054261553
numeric__realized_vol_ratio,0.12022009394130344,0.12022009394130344
numeric__realized_vol_regime,-0.10882791911331252,0.10882791911331252
numeric__atr_at_signal,0.10235358816528373,0.10235358816528373
numeric__iv_breakout_confirmation,0.09903622648560932,0.09903622648560932
numeric__hv_change_20d,0.09603216992704558,0.09603216992704558
numeric__breakout_volume_confirmation,-0.08776483667562,0.08776483667562
numeric__iv_percentile_60d,0.0789502690680621,0.0789502690680621
numeric__shy_return_20d,-0.07867655782253596,0.07867655782253596
numeric__shy_trend_20d,-0.07867655782253596,0.07867655782253596
numeric__iv_change_5d,0.07462159221047247,0.07462159221047247
numeric__vol_5d,0.05945492650533326,0.05945492650533326
numeric__vix_percentile_60d,0.05711457958984959,0.05711457958984959
symbol__symbol_IWM,0.04480340162076152,0.04480340162076152
numeric__vol_10d,-0.04435731967665394,0.04435731967665394
numeric__shy_return_5d,-0.03322536461798224,0.03322536461798224
numeric__close_location_in_bar,0.033076085861459714,0.033076085861459714
numeric__trend_slope_10d,-0.03002945810595422,0.03002945810595422
numeric__iv_zscore_20d,0.028982888163936345,0.028982888163936345
numeric__dollar_volume_ratio_20d,-0.02386231220458804,0.02386231220458804
numeric__volume_ratio_20d,-0.02157608748070098,0.02157608748070098
numeric__iv_30d,-0.006783095948295337,0.006783095948295337
numeric__vix_spike_flag,-0.005385630276689251,0.005385630276689251
