date,close,cash_flow,position_delta,cash,position_shares,market_value,equity,daily_return,running_peak,drawdown,open_positions
2024-12-11,529.92,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0
2024-12-12,526.5,-44897.652799999996,85.0,55102.347200000004,85.0,44752.5,99854.8472,-0.0014515279999999242,100000.0,-0.0014515279999999242,1
2024-12-13,530.53,0.0,0.0,55102.347200000004,85.0,45095.049999999996,100197.3972,0.0034304794369561797,100197.3972,0.0,1
2024-12-16,538.17,0.0,0.0,55102.347200000004,85.0,45744.45,100846.7972,0.006481206280276375,100846.7972,0.0,1
2024-12-17,535.8,45497.456999999995,-85.0,100599.8042,0.0,0.0,100599.8042,-0.002449190324906092,100846.7972,-0.002449190324906092,0
2024-12-18,516.47,0.0,0.0,100599.8042,0.0,0.0,100599.8042,0.0,100846.7972,-0.002449190324906092,0
2024-12-19,514.17,0.0,0.0,100599.8042,0.0,0.0,100599.8042,0.0,100846.7972,-0.002449190324906092,0
2024-12-20,518.66,0.0,0.0,100599.8042,0.0,0.0,100599.8042,0.0,100846.7972,-0.002449190324906092,0
2024-12-23,522.87,0.0,0.0,100599.8042,0.0,0.0,100599.8042,0.0,100846.7972,-0.002449190324906092,0
2024-12-24,529.96,0.0,0.0,100599.8042,0.0,0.0,100599.8042,0.0,100846.7972,-0.002449190324906092,0
2024-12-26,529.6,0.0,0.0,100599.8042,0.0,0.0,100599.8042,0.0,100846.7972,-0.002449190324906092,0
2024-12-27,522.56,0.0,0.0,100599.8042,0.0,0.0,100599.8042,0.0,100846.7972,-0.002449190324906092,0
2024-12-30,515.61,0.0,0.0,100599.8042,0.0,0.0,100599.8042,0.0,100846.7972,-0.002449190324906092,0
2024-12-31,511.23,0.0,0.0,100599.8042,0.0,0.0,100599.8042,0.0,100846.7972,-0.002449190324906092,0
2025-01-02,510.23,0.0,0.0,100599.8042,0.0,0.0,100599.8042,0.0,100846.7972,-0.002449190324906092,0
2025-01-03,518.58,0.0,0.0,100599.8042,0.0,0.0,100599.8042,0.0,100846.7972,-0.002449190324906092,0
2025-01-06,524.54,0.0,0.0,100599.8042,0.0,0.0,100599.8042,0.0,100846.7972,-0.002449190324906092,0
2025-01-07,515.18,0.0,0.0,100599.8042,0.0,0.0,100599.8042,0.0,100846.7972,-0.002449190324906092,0
2025-01-08,515.27,0.0,0.0,100599.8042,0.0,0.0,100599.8042,0.0,100846.7972,-0.002449190324906092,0
2025-01-10,507.19,0.0,0.0,100599.8042,0.0,0.0,100599.8042,0.0,100846.7972,-0.002449190324906092,0
2025-01-13,505.56,0.0,0.0,100599.8042,0.0,0.0,100599.8042,0.0,100846.7972,-0.002449190324906092,0
2025-01-14,505.08,0.0,0.0,100599.8042,0.0,0.0,100599.8042,0.0,100846.7972,-0.002449190324906092,0
