symbol,rows,start_date,end_date,recent_return_63d,annualized_volatility,avg_dollar_volume_63d,selection_score,selection_status
XLE,1256,2021-04-26,2026-04-24,0.1554246241365298,0.2605688790197944,2857863583.7269845,0.5964819157268693,eligible
QQQ,1256,2021-04-26,2026-04-24,0.06142678988264638,0.22403362357407755,28998442776.051434,0.27418558385427083,eligible
IWM,1256,2021-04-26,2026-04-24,0.04799606030759884,0.22560185227696658,6503583266.043967,0.21274674752526013,eligible
SPY,1256,2021-04-26,2026-04-24,0.03061798969295393,0.17131266356429223,40954871322.05175,0.17872578159677757,eligible
TLT,1256,2021-04-26,2026-04-24,-0.018562535370684752,0.1584268003183123,2590969369.626349,-0.11716789920258926,eligible
GLD,1256,2021-04-26,2026-04-24,-0.0676780718743275,0.17842293325621664,5274605788.894603,-0.379312628927254,eligible
