date,open,high,low,close,volume,symbol,metric
2021-04-26,0.11634427,0.11634427,0.11634427,0.11634427,1,TLT,HISTORICAL_VOLATILITY
2021-04-27,0.11667763,0.11667763,0.11667763,0.11667763,1,TLT,HISTORICAL_VOLATILITY
2021-04-28,0.11599503,0.11599503,0.11599503,0.11599503,1,TLT,HISTORICAL_VOLATILITY
2021-04-29,0.11548704,0.11548704,0.11548704,0.11548704,1,TLT,HISTORICAL_VOLATILITY
2021-04-30,0.10656557,0.10656557,0.10656557,0.10656557,1,TLT,HISTORICAL_VOLATILITY
2021-05-03,0.10774028,0.10774028,0.10774028,0.10774028,1,TLT,HISTORICAL_VOLATILITY
2021-05-04,0.10786728,0.10786728,0.10786728,0.10786728,1,TLT,HISTORICAL_VOLATILITY
2021-05-05,0.10718468,0.10718468,0.10718468,0.10718468,1,TLT,HISTORICAL_VOLATILITY
2021-05-06,0.10707356,0.10707356,0.10707356,0.10707356,1,TLT,HISTORICAL_VOLATILITY
2021-05-07,0.10805778,0.10805778,0.10805778,0.10805778,1,TLT,HISTORICAL_VOLATILITY
2021-05-10,0.10756567,0.10756567,0.10756567,0.10756567,1,TLT,HISTORICAL_VOLATILITY
2021-05-11,0.1064227,0.1064227,0.1064227,0.1064227,1,TLT,HISTORICAL_VOLATILITY
2021-05-12,0.10612109,0.10612109,0.10612109,0.10612109,1,TLT,HISTORICAL_VOLATILITY
2021-05-13,0.10474,0.10474,0.10474,0.10474,1,TLT,HISTORICAL_VOLATILITY
2021-05-14,0.10166035,0.10166035,0.10166035,0.10166035,1,TLT,HISTORICAL_VOLATILITY
2021-05-17,0.09905693,0.09905693,0.09905693,0.09905693,1,TLT,HISTORICAL_VOLATILITY
2021-05-18,0.09889818,0.09889818,0.09889818,0.09889818,1,TLT,HISTORICAL_VOLATILITY
2021-05-19,0.10023164,0.10023164,0.10023164,0.10023164,1,TLT,HISTORICAL_VOLATILITY
2021-05-20,0.10093012,0.10093012,0.10093012,0.10093012,1,TLT,HISTORICAL_VOLATILITY
2021-05-21,0.0998824,0.0998824,0.0998824,0.0998824,1,TLT,HISTORICAL_VOLATILITY
2021-05-24,0.10037451,0.10037451,0.10037451,0.10037451,1,TLT,HISTORICAL_VOLATILITY
2021-05-25,0.10032689,0.10032689,0.10032689,0.10032689,1,TLT,HISTORICAL_VOLATILITY
