date,open,high,low,close,volume,symbol,metric
2021-05-03,0.15761799,0.15761799,0.15761799,0.15761799,1,QQQ,HISTORICAL_VOLATILITY
2021-05-04,0.16085639,0.16085639,0.16085639,0.16085639,1,QQQ,HISTORICAL_VOLATILITY
2021-05-05,0.161285,0.161285,0.161285,0.161285,1,QQQ,HISTORICAL_VOLATILITY
2021-05-06,0.16166599,0.16166599,0.16166599,0.16166599,1,QQQ,HISTORICAL_VOLATILITY
2021-05-07,0.16158662,0.16158662,0.16158662,0.16158662,1,QQQ,HISTORICAL_VOLATILITY
2021-05-10,0.16061827,0.16061827,0.16061827,0.16061827,1,QQQ,HISTORICAL_VOLATILITY
2021-05-11,0.17009535,0.17009535,0.17009535,0.17009535,1,QQQ,HISTORICAL_VOLATILITY
2021-05-12,0.17787386,0.17787386,0.17787386,0.17787386,1,QQQ,HISTORICAL_VOLATILITY
2021-05-13,0.18062015,0.18062015,0.18062015,0.18062015,1,QQQ,HISTORICAL_VOLATILITY
2021-05-14,0.18111226,0.18111226,0.18111226,0.18111226,1,QQQ,HISTORICAL_VOLATILITY
2021-05-17,0.17871521,0.17871521,0.17871521,0.17871521,1,QQQ,HISTORICAL_VOLATILITY
2021-05-18,0.17966768,0.17966768,0.17966768,0.17966768,1,QQQ,HISTORICAL_VOLATILITY
2021-05-19,0.18750969,0.18750969,0.18750969,0.18750969,1,QQQ,HISTORICAL_VOLATILITY
2021-05-20,0.18779543,0.18779543,0.18779543,0.18779543,1,QQQ,HISTORICAL_VOLATILITY
2021-05-21,0.1878113,0.1878113,0.1878113,0.1878113,1,QQQ,HISTORICAL_VOLATILITY
2021-05-24,0.19208155,0.19208155,0.19208155,0.19208155,1,QQQ,HISTORICAL_VOLATILITY
2021-05-25,0.19244666,0.19244666,0.19244666,0.19244666,1,QQQ,HISTORICAL_VOLATILITY
2021-05-26,0.19146244,0.19146244,0.19146244,0.19146244,1,QQQ,HISTORICAL_VOLATILITY
2021-05-27,0.18720807,0.18720807,0.18720807,0.18720807,1,QQQ,HISTORICAL_VOLATILITY
2021-05-28,0.18741444,0.18741444,0.18741444,0.18741444,1,QQQ,HISTORICAL_VOLATILITY
2021-06-01,0.18674771,0.18674771,0.18674771,0.18674771,1,QQQ,HISTORICAL_VOLATILITY
2021-06-02,0.18501739,0.18501739,0.18501739,0.18501739,1,QQQ,HISTORICAL_VOLATILITY
2021-06-03,0.18604923,0.18604923,0.18604923,0.18604923,1,QQQ,HISTORICAL_VOLATILITY
2021-06-04,0.18508089,0.18508089,0.18508089,0.18508089,1,QQQ,HISTORICAL_VOLATILITY
2021-06-07,0.18398555,0.18398555,0.18398555,0.18398555,1,QQQ,HISTORICAL_VOLATILITY
