date,open,high,low,close,volume,symbol,metric
2021-04-26,0.12328143,0.12328143,0.12328143,0.12328143,1,GLD,HISTORICAL_VOLATILITY
2021-04-27,0.12204322,0.12204322,0.12204322,0.12204322,1,GLD,HISTORICAL_VOLATILITY
2021-04-28,0.12204322,0.12204322,0.12204322,0.12204322,1,GLD,HISTORICAL_VOLATILITY
2021-04-29,0.12232896,0.12232896,0.12232896,0.12232896,1,GLD,HISTORICAL_VOLATILITY
2021-04-30,0.11456632,0.11456632,0.11456632,0.11456632,1,GLD,HISTORICAL_VOLATILITY
2021-05-03,0.11964617,0.11964617,0.11964617,0.11964617,1,GLD,HISTORICAL_VOLATILITY
2021-05-04,0.12324968,0.12324968,0.12324968,0.12324968,1,GLD,HISTORICAL_VOLATILITY
2021-05-05,0.12269407,0.12269407,0.12269407,0.12269407,1,GLD,HISTORICAL_VOLATILITY
2021-05-06,0.12385291,0.12385291,0.12385291,0.12385291,1,GLD,HISTORICAL_VOLATILITY
2021-05-07,0.12469426,0.12469426,0.12469426,0.12469426,1,GLD,HISTORICAL_VOLATILITY
2021-05-10,0.12609122,0.12609122,0.12609122,0.12609122,1,GLD,HISTORICAL_VOLATILITY
2021-05-11,0.12794853,0.12794853,0.12794853,0.12794853,1,GLD,HISTORICAL_VOLATILITY
2021-05-12,0.12202734,0.12202734,0.12202734,0.12202734,1,GLD,HISTORICAL_VOLATILITY
2021-05-13,0.1192493,0.1192493,0.1192493,0.1192493,1,GLD,HISTORICAL_VOLATILITY
2021-05-14,0.11680463,0.11680463,0.11680463,0.11680463,1,GLD,HISTORICAL_VOLATILITY
2021-05-17,0.11710624,0.11710624,0.11710624,0.11710624,1,GLD,HISTORICAL_VOLATILITY
2021-05-18,0.11637602,0.11637602,0.11637602,0.11637602,1,GLD,HISTORICAL_VOLATILITY
2021-05-19,0.11977316,0.11977316,0.11977316,0.11977316,1,GLD,HISTORICAL_VOLATILITY
2021-05-20,0.11791584,0.11791584,0.11791584,0.11791584,1,GLD,HISTORICAL_VOLATILITY
2021-05-21,0.11499493,0.11499493,0.11499493,0.11499493,1,GLD,HISTORICAL_VOLATILITY
2021-05-24,0.11426471,0.11426471,0.11426471,0.11426471,1,GLD,HISTORICAL_VOLATILITY
