date,open,high,low,close,volume,symbol,metric
2021-04-26,0.10599409,0.10599409,0.10599409,0.10599409,1,SPY,HISTORICAL_VOLATILITY
2021-04-27,0.10396215,0.10396215,0.10396215,0.10396215,1,SPY,HISTORICAL_VOLATILITY
2021-04-28,0.10353354,0.10353354,0.10353354,0.10353354,1,SPY,HISTORICAL_VOLATILITY
2021-04-29,0.10491462,0.10491462,0.10491462,0.10491462,1,SPY,HISTORICAL_VOLATILITY
2021-04-30,0.10116824,0.10116824,0.10116824,0.10116824,1,SPY,HISTORICAL_VOLATILITY
2021-05-03,0.09997765,0.09997765,0.09997765,0.09997765,1,SPY,HISTORICAL_VOLATILITY
2021-05-04,0.1024382,0.1024382,0.1024382,0.1024382,1,SPY,HISTORICAL_VOLATILITY
2021-05-05,0.10070788,0.10070788,0.10070788,0.10070788,1,SPY,HISTORICAL_VOLATILITY
2021-05-06,0.10026339,0.10026339,0.10026339,0.10026339,1,SPY,HISTORICAL_VOLATILITY
2021-05-07,0.0960884,0.0960884,0.0960884,0.0960884,1,SPY,HISTORICAL_VOLATILITY
2021-05-10,0.09400884,0.09400884,0.09400884,0.09400884,1,SPY,HISTORICAL_VOLATILITY
2021-05-11,0.10050151,0.10050151,0.10050151,0.10050151,1,SPY,HISTORICAL_VOLATILITY
2021-05-12,0.10551785,0.10551785,0.10551785,0.10551785,1,SPY,HISTORICAL_VOLATILITY
2021-05-13,0.10761329,0.10761329,0.10761329,0.10761329,1,SPY,HISTORICAL_VOLATILITY
2021-05-14,0.10942298,0.10942298,0.10942298,0.10942298,1,SPY,HISTORICAL_VOLATILITY
2021-05-17,0.1080419,0.1080419,0.1080419,0.1080419,1,SPY,HISTORICAL_VOLATILITY
2021-05-18,0.10839114,0.10839114,0.10839114,0.10839114,1,SPY,HISTORICAL_VOLATILITY
2021-05-19,0.1160744,0.1160744,0.1160744,0.1160744,1,SPY,HISTORICAL_VOLATILITY
2021-05-20,0.11718562,0.11718562,0.11718562,0.11718562,1,SPY,HISTORICAL_VOLATILITY
2021-05-21,0.11837621,0.11837621,0.11837621,0.11837621,1,SPY,HISTORICAL_VOLATILITY
2021-05-24,0.1200589,0.1200589,0.1200589,0.1200589,1,SPY,HISTORICAL_VOLATILITY
2021-05-25,0.12047164,0.12047164,0.12047164,0.12047164,1,SPY,HISTORICAL_VOLATILITY
2021-05-26,0.12007478,0.12007478,0.12007478,0.12007478,1,SPY,HISTORICAL_VOLATILITY
2021-05-27,0.11910643,0.11910643,0.11910643,0.11910643,1,SPY,HISTORICAL_VOLATILITY
2021-05-28,0.11896356,0.11896356,0.11896356,0.11896356,1,SPY,HISTORICAL_VOLATILITY
2021-06-01,0.11982079,0.11982079,0.11982079,0.11982079,1,SPY,HISTORICAL_VOLATILITY
2021-06-02,0.11847145,0.11847145,0.11847145,0.11847145,1,SPY,HISTORICAL_VOLATILITY
2021-06-03,0.1201224,0.1201224,0.1201224,0.1201224,1,SPY,HISTORICAL_VOLATILITY
2021-06-04,0.11890006,0.11890006,0.11890006,0.11890006,1,SPY,HISTORICAL_VOLATILITY
2021-06-07,0.11724912,0.11724912,0.11724912,0.11724912,1,SPY,HISTORICAL_VOLATILITY
2021-06-08,0.11794759,0.11794759,0.11794759,0.11794759,1,SPY,HISTORICAL_VOLATILITY
2021-06-09,0.11791584,0.11791584,0.11791584,0.11791584,1,SPY,HISTORICAL_VOLATILITY
2021-06-10,0.1186937,0.1186937,0.1186937,0.1186937,1,SPY,HISTORICAL_VOLATILITY
2021-06-11,0.1153283,0.1153283,0.1153283,0.1153283,1,SPY,HISTORICAL_VOLATILITY
2021-06-14,0.11407421,0.11407421,0.11407421,0.11407421,1,SPY,HISTORICAL_VOLATILITY
2021-06-15,0.11305825,0.11305825,0.11305825,0.11305825,1,SPY,HISTORICAL_VOLATILITY
2021-06-16,0.11143905,0.11143905,0.11143905,0.11143905,1,SPY,HISTORICAL_VOLATILITY
2021-06-17,0.11245501,0.11245501,0.11245501,0.11245501,1,SPY,HISTORICAL_VOLATILITY
2021-06-18,0.11315349,0.11315349,0.11315349,0.11315349,1,SPY,HISTORICAL_VOLATILITY
2021-06-21,0.11429646,0.11429646,0.11429646,0.11429646,1,SPY,HISTORICAL_VOLATILITY
2021-06-22,0.11462982,0.11462982,0.11462982,0.11462982,1,SPY,HISTORICAL_VOLATILITY
2021-06-23,0.10678781,0.10678781,0.10678781,0.10678781,1,SPY,HISTORICAL_VOLATILITY
2021-06-24,0.10181909,0.10181909,0.10181909,0.10181909,1,SPY,HISTORICAL_VOLATILITY
2021-06-25,0.09904105,0.09904105,0.09904105,0.09904105,1,SPY,HISTORICAL_VOLATILITY
2021-06-28,0.09600902,0.09600902,0.09600902,0.09600902,1,SPY,HISTORICAL_VOLATILITY
2021-06-29,0.09473906,0.09473906,0.09473906,0.09473906,1,SPY,HISTORICAL_VOLATILITY
2021-06-30,0.09413583,0.09413583,0.09413583,0.09413583,1,SPY,HISTORICAL_VOLATILITY
2021-07-01,0.08445238,0.08445238,0.08445238,0.08445238,1,SPY,HISTORICAL_VOLATILITY
2021-07-02,0.08302368,0.08302368,0.08302368,0.08302368,1,SPY,HISTORICAL_VOLATILITY
2021-07-06,0.08273793,0.08273793,0.08273793,0.08273793,1,SPY,HISTORICAL_VOLATILITY
2021-07-07,0.0813251,0.0813251,0.0813251,0.0813251,1,SPY,HISTORICAL_VOLATILITY
2021-07-08,0.09053232,0.09053232,0.09053232,0.09053232,1,SPY,HISTORICAL_VOLATILITY
2021-07-09,0.09129429,0.09129429,0.09129429,0.09129429,1,SPY,HISTORICAL_VOLATILITY
2021-07-12,0.09115142,0.09115142,0.09115142,0.09115142,1,SPY,HISTORICAL_VOLATILITY
2021-07-13,0.0911038,0.0911038,0.0911038,0.0911038,1,SPY,HISTORICAL_VOLATILITY
2021-07-14,0.0903577,0.0903577,0.0903577,0.0903577,1,SPY,HISTORICAL_VOLATILITY
2021-07-15,0.0912308,0.0912308,0.0912308,0.0912308,1,SPY,HISTORICAL_VOLATILITY
2021-07-16,0.0893576,0.0893576,0.0893576,0.0893576,1,SPY,HISTORICAL_VOLATILITY
2021-07-19,0.09719961,0.09719961,0.09719961,0.09719961,1,SPY,HISTORICAL_VOLATILITY
2021-07-20,0.10112062,0.10112062,0.10112062,0.10112062,1,SPY,HISTORICAL_VOLATILITY
2021-07-21,0.10070788,0.10070788,0.10070788,0.10070788,1,SPY,HISTORICAL_VOLATILITY
2021-07-22,0.10077138,0.10077138,0.10077138,0.10077138,1,SPY,HISTORICAL_VOLATILITY
2021-07-23,0.10113649,0.10113649,0.10113649,0.10113649,1,SPY,HISTORICAL_VOLATILITY
2021-07-26,0.10096187,0.10096187,0.10096187,0.10096187,1,SPY,HISTORICAL_VOLATILITY
2021-07-27,0.10232708,0.10232708,0.10232708,0.10232708,1,SPY,HISTORICAL_VOLATILITY
2021-07-28,0.10296206,0.10296206,0.10296206,0.10296206,1,SPY,HISTORICAL_VOLATILITY
2021-07-29,0.10127936,0.10127936,0.10127936,0.10127936,1,SPY,HISTORICAL_VOLATILITY
2021-07-30,0.10170797,0.10170797,0.10170797,0.10170797,1,SPY,HISTORICAL_VOLATILITY
2021-08-02,0.09981891,0.09981891,0.09981891,0.09981891,1,SPY,HISTORICAL_VOLATILITY
2021-08-03,0.09972366,0.09972366,0.09972366,0.09972366,1,SPY,HISTORICAL_VOLATILITY
2021-08-04,0.09900931,0.09900931,0.09900931,0.09900931,1,SPY,HISTORICAL_VOLATILITY
2021-08-05,0.0993268,0.0993268,0.0993268,0.0993268,1,SPY,HISTORICAL_VOLATILITY
2021-08-06,0.09810446,0.09810446,0.09810446,0.09810446,1,SPY,HISTORICAL_VOLATILITY
2021-08-09,0.09791396,0.09791396,0.09791396,0.09791396,1,SPY,HISTORICAL_VOLATILITY
2021-08-10,0.09781872,0.09781872,0.09781872,0.09781872,1,SPY,HISTORICAL_VOLATILITY
2021-08-11,0.09797746,0.09797746,0.09797746,0.09797746,1,SPY,HISTORICAL_VOLATILITY
2021-08-12,0.09823145,0.09823145,0.09823145,0.09823145,1,SPY,HISTORICAL_VOLATILITY
2021-08-13,0.09802509,0.09802509,0.09802509,0.09802509,1,SPY,HISTORICAL_VOLATILITY
2021-08-16,0.09899343,0.09899343,0.09899343,0.09899343,1,SPY,HISTORICAL_VOLATILITY
2021-08-17,0.10059676,0.10059676,0.10059676,0.10059676,1,SPY,HISTORICAL_VOLATILITY
2021-08-18,0.10191434,0.10191434,0.10191434,0.10191434,1,SPY,HISTORICAL_VOLATILITY
2021-08-19,0.09637414,0.09637414,0.09637414,0.09637414,1,SPY,HISTORICAL_VOLATILITY
2021-08-20,0.09600902,0.09600902,0.09600902,0.09600902,1,SPY,HISTORICAL_VOLATILITY
2021-08-23,0.09712024,0.09712024,0.09712024,0.09712024,1,SPY,HISTORICAL_VOLATILITY
2021-08-24,0.09646938,0.09646938,0.09646938,0.09646938,1,SPY,HISTORICAL_VOLATILITY
2021-08-25,0.09510418,0.09510418,0.09510418,0.09510418,1,SPY,HISTORICAL_VOLATILITY
2021-08-26,0.09404058,0.09404058,0.09404058,0.09404058,1,SPY,HISTORICAL_VOLATILITY
2021-08-27,0.09327861,0.09327861,0.09327861,0.09327861,1,SPY,HISTORICAL_VOLATILITY
2021-08-30,0.08432539,0.08432539,0.08432539,0.08432539,1,SPY,HISTORICAL_VOLATILITY
2021-08-31,0.07949954,0.07949954,0.07949954,0.07949954,1,SPY,HISTORICAL_VOLATILITY
2021-09-01,0.07913442,0.07913442,0.07913442,0.07913442,1,SPY,HISTORICAL_VOLATILITY
2021-09-02,0.0797694,0.0797694,0.0797694,0.0797694,1,SPY,HISTORICAL_VOLATILITY
2021-09-03,0.07822957,0.07822957,0.07822957,0.07822957,1,SPY,HISTORICAL_VOLATILITY
2021-09-07,0.07842007,0.07842007,0.07842007,0.07842007,1,SPY,HISTORICAL_VOLATILITY
2021-09-08,0.07711836,0.07711836,0.07711836,0.07711836,1,SPY,HISTORICAL_VOLATILITY
2021-09-09,0.0774676,0.0774676,0.0774676,0.0774676,1,SPY,HISTORICAL_VOLATILITY
2021-09-10,0.07967415,0.07967415,0.07967415,0.07967415,1,SPY,HISTORICAL_VOLATILITY
2021-09-13,0.0823252,0.0823252,0.0823252,0.0823252,1,SPY,HISTORICAL_VOLATILITY
2021-09-14,0.08276968,0.08276968,0.08276968,0.08276968,1,SPY,HISTORICAL_VOLATILITY
2021-09-15,0.08194421,0.08194421,0.08194421,0.08194421,1,SPY,HISTORICAL_VOLATILITY
