lookback,strength,stop_atr,trail_atr,hold,fail_wait,eligible_assets,avg_sharpe,median_sharpe,best_sharpe,avg_return,avg_trades,avg_max_dd,avg_win_rate,avg_exp_return,top_symbol,score
30,0.2,3.0,2.5,12,4,5,0.2676977637963113,0.2514072519771745,0.8399045034384818,0.01862715274071438,39.6,-0.02523740605239184,0.5320976280355082,0.001787565311295388,QQQ,0.5722575281597452
30,0.2,3.0,2.5,15,4,5,0.2676977637963113,0.2514072519771745,0.8399045034384818,0.01862715274071438,39.6,-0.02523740605239184,0.5320976280355082,0.001787565311295388,QQQ,0.5722575281597452
30,0.2,3.0,2.5,18,4,5,0.2676977637963113,0.2514072519771745,0.8399045034384818,0.01862715274071438,39.6,-0.02523740605239184,0.5320976280355082,0.001787565311295388,QQQ,0.5722575281597452
30,0.2,3.0,3.0,12,4,5,0.26201088039470183,0.2514072519771745,0.8399045034384818,0.018171803545714394,39.6,-0.02523740605239184,0.5320976280355082,0.0017392039143005508,QQQ,0.568332383044021
30,0.2,3.0,3.0,15,4,5,0.26201088039470183,0.2514072519771745,0.8399045034384818,0.018171803545714394,39.6,-0.02523740605239184,0.5320976280355082,0.0017392039143005508,QQQ,0.568332383044021
30,0.2,3.0,3.0,18,4,5,0.26201088039470183,0.2514072519771745,0.8399045034384818,0.018171803545714394,39.6,-0.02523740605239184,0.5320976280355082,0.0017392039143005508,QQQ,0.568332383044021
30,0.2,3.0,3.5,12,4,5,0.2566073828675646,0.2514072519771745,0.8399045034384818,0.01771645435071436,39.6,-0.02523740605239184,0.5320976280355082,0.0016908425173057131,QQQ,0.5645347615718092
30,0.2,3.0,3.5,15,4,5,0.2566073828675646,0.2514072519771745,0.8399045034384818,0.01771645435071436,39.6,-0.02523740605239184,0.5320976280355082,0.0016908425173057131,QQQ,0.5645347615718092
30,0.2,3.0,3.5,18,4,5,0.2566073828675646,0.2514072519771745,0.8399045034384818,0.01771645435071436,39.6,-0.02523740605239184,0.5320976280355082,0.0016908425173057131,QQQ,0.5645347615718092
30,0.2,2.5,2.5,12,4,5,0.21312483093931425,0.2525795496923472,0.8704494930245874,0.01795279344285696,39.6,-0.03136380794990272,0.5280976280355082,0.0015142893888023053,QQQ,0.5549573571278732
30,0.2,2.5,2.5,15,4,5,0.21312483093931425,0.2525795496923472,0.8704494930245874,0.01795279344285696,39.6,-0.03136380794990272,0.5280976280355082,0.0015142893888023053,QQQ,0.5549573571278732
30,0.2,2.5,2.5,18,4,5,0.21312483093931425,0.2525795496923472,0.8704494930245874,0.01795279344285696,39.6,-0.03136380794990272,0.5280976280355082,0.0015142893888023053,QQQ,0.5549573571278732
30,0.2,2.5,3.0,12,4,5,0.20748398620704772,0.2525795496923472,0.8704494930245874,0.017404515840714098,39.6,-0.03136380794990272,0.5280976280355082,0.0014659279918074679,QQQ,0.5507741441919247
30,0.2,2.5,3.0,15,4,5,0.20748398620704772,0.2525795496923472,0.8704494930245874,0.017404515840714098,39.6,-0.03136380794990272,0.5280976280355082,0.0014659279918074679,QQQ,0.5507741441919247
30,0.2,2.5,3.0,18,4,5,0.20748398620704772,0.2525795496923472,0.8704494930245874,0.017404515840714098,39.6,-0.03136380794990272,0.5280976280355082,0.0014659279918074679,QQQ,0.5507741441919247
30,0.2,2.5,3.5,12,4,5,0.20211794822364276,0.2525795496923472,0.8704494930245874,0.016856238238571276,39.6,-0.03136380794990272,0.5280976280355082,0.0014175665948126305,QQQ,0.5467145942929641
30,0.2,2.5,3.5,15,4,5,0.20211794822364276,0.2525795496923472,0.8704494930245874,0.016856238238571276,39.6,-0.03136380794990272,0.5280976280355082,0.0014175665948126305,QQQ,0.5467145942929641
30,0.2,2.5,3.5,18,4,5,0.20211794822364276,0.2525795496923472,0.8704494930245874,0.016856238238571276,39.6,-0.03136380794990272,0.5280976280355082,0.0014175665948126305,QQQ,0.5467145942929641
